country,date_parsed,weekday,day,month,name_of_holiday,date_of_holiday,year_of_event,independence_from,year,date_mdy,region,historical_context
Afghanistan,19-08-1919,Tuesday,19,Aug,Afghan Independence Day (Afghan Victory Day),Aug-19,1919,United Kingdom,1919,"August 19, 1919",Asia,Modern Era
Albania,28-11-1912,Thursday,28,Nov,Flag Day (Dita e Flamurit),Nov-28,1912,Ottoman Empire,1912,"November 28, 1912",Europe,Modern Era
Algeria,05-07-1962,Thursday,5,Jul,Independence Day,Jul-05,1962,France,1962,"July 5, 1962",Africa,Modern Era
Angola,11-11-1975,Tuesday,11,Nov,Independence Day,Nov-11,1975,Portugal,1975,"November 11, 1975",Africa,Modern Era
Antigua and Barbuda,01-11-1981,Sunday,1,Nov,Independence Day,Nov-01,1981,United Kingdom,1981,"November 1, 1981",North America,Modern Era
Argentina,09-07-1816,Tuesday,9,Jul,Independence Day,Jul-09,1816,Spanish Empire,1816,"July 9, 1816",South America,Modern Era
Armenia,28-05-1918,Tuesday,28,May,Republic Day,May-28,1918,Russian Soviet Federative Socialist Republic,1918,"May 28, 1918",Asia,Modern Era
Armenia,21-09-1991,Saturday,21,Sep,Independence Day,Sep-21,1991,Soviet Union,1991,"September 21, 1991",Asia,Modern Era
Austria,26-10-1955,Wednesday,26,Oct,National Day,Oct-26,1955,"Allied occupying powers (France, United Kingdom, United States and Soviet Union)",1955,"October 26, 1955",Europe,Modern Era
Azerbaijan,28-05-1918,Tuesday,28,May,Republic Day,May-28,1918,Russian Soviet Federative Socialist Republic,1918,"May 28, 1918",Asia,Modern Era
Azerbaijan,18-10-1991,Friday,18,Oct,Independence Day,Oct-18,1991,Soviet Union,1991,"October 18, 1991",Asia,Modern Era
"Bahamas, The",10-07-1973,Tuesday,10,Jul,Independence Day,Jul-10,1973,United Kingdom,1973,"July 10, 1973",North America,Modern Era
Bahrain,16-12-1971,Thursday,16,Dec,Independence Day,Dec-16,1971,United Kingdom,1971,"December 16, 1971",Asia,Modern Era
Bangladesh,26-03-1971,Friday,26,Mar,Independence Day,Mar-26,1971,Pakistan,1971,"March 26, 1971",Asia,Modern Era
Barbados,30-11-1966,Wednesday,30,Nov,Independence Day,Nov-30,1966,United Kingdom,1966,"November 30, 1966",North America,Modern Era
Belarus,03-07-1944,Monday,3,Jul,Independence Day,Jul-03,1944,Nazi Germany,1944,"July 3, 1944",Europe,Modern Era
Belgium,21-07-1831,Thursday,21,Jul,National Day,Jul-21,1831,United Netherlands,1831,"July 21, 1831",Europe,Modern Era
Belize,21-09-1981,Monday,21,Sep,Independence Day,Sep-21,1981,United Kingdom,1981,"September 21, 1981",North America,Modern Era
Benin,01-08-1960,Monday,1,Aug,Independence Day,Aug-01,1960,France,1960,"August 1, 1960",Africa,Modern Era
Bolivia,06-08-1825,Saturday,6,Aug,Independence Day,Aug-06,1825,Spain,1825,"August 6, 1825",South America,Modern Era
Bosnia and Herzegovina,01-03-1992,Sunday,1,Mar,Independence Day,Mar-01,1992,Socialist Federal Republic of Yugoslavia,1992,"March 1, 1992",Europe,Modern Era
Botswana,30-09-1966,Friday,30,Sep,Independence Day,Sep-30,1966,United Kingdom,1966,"September 30, 1966",Africa,Modern Era
Brazil,07-09-1822,Saturday,7,Sep,Independence Day (Dia da Independência),Sep-07,1822,"United Kingdom of Portugal, Brazil and the Algarves",1822,"September 7, 1822",South America,Modern Era
Brunei,23-02-1984,Thursday,23,Feb,National Day,Feb-23,1984,United Kingdom,1984,"February 23, 1984",Asia,Modern Era
Bulgaria,03-03-1878,Sunday,3,Mar,Liberation Day,Mar-03,1878,Ottoman Empire,1878,"March 3, 1878",Europe,Modern Era
Bulgaria,05-10-1908,Monday,5,Oct,Independence Day,Oct-05,1908,Ottoman Empire,1908,"October 5, 1908",Europe,Modern Era
Burkina Faso,11-12-1958,Thursday,11,Dec,Proclamation of Independence Day,Dec-11,1958,France,1958,"December 11, 1958",Africa,Modern Era
Burkina Faso,05-08-1960,Friday,5,Aug,Independence Day,Aug-05,1960,France,1960,"August 5, 1960",Africa,Modern Era
Burundi,01-07-1962,Sunday,1,Jul,Independence Day,Jul-01,1962,Belgium,1962,"July 1, 1962",Africa,Modern Era
Cambodia,09-11-1953,Monday,9,Nov,Independence Day,Nov-09,1953,France,1953,"November 9, 1953",Asia,Modern Era
Cape Verde,05-07-1975,Saturday,5,Jul,Independence Day,Jul-05,1975,Portugal,1975,"July 5, 1975",Africa,Modern Era
Central African Republic,01-12-1958,Monday,1,Dec,National Day,Dec-01,1958,France,1958,"December 1, 1958",Africa,Modern Era
Central African Republic,13-08-1960,Saturday,13,Aug,Independence Day,Aug-13,1960,France,1960,"August 13, 1960",Africa,Modern Era
Chad,28-11-1958,Friday,28,Nov,Republic Day,Nov-28,1958,France,1958,"November 28, 1958",Africa,Modern Era
Chad,11-08-1960,Thursday,11,Aug,Independence Day,Aug-11,1960,France,1960,"August 11, 1960",Africa,Modern Era
Chile,18-09-1810,Tuesday,18,Sep,Independence Day (part of Fiestas Patrias),Sep-18,1810,Spanish Empire,1810,"September 18, 1810",South America,Modern Era
Colombia,20-07-1810,Friday,20,Jul,Independence Day,Jul-20,1810,Spanish Empire,1810,"July 20, 1810",South America,Modern Era
Comoros,06-07-1975,Sunday,6,Jul,Independence Day,Jul-06,1975,France,1975,"July 6, 1975",Africa,Modern Era
"Congo, Democratic Republic of the",30-06-1960,Thursday,30,Jun,Independence Day,Jun-30,1960,Belgium,1960,"June 30, 1960",Africa,Modern Era
"Congo, Republic of the",28-11-1958,Friday,28,Nov,Republic Day,Nov-28,1958,France,1958,"November 28, 1958",Africa,Modern Era
"Congo, Republic of the",15-08-1960,Monday,15,Aug,Independence Day,Aug-15,1960,France,1960,"August 15, 1960",Africa,Modern Era
Costa Rica,15-09-1821,Saturday,15,Sep,Independence Day,Sep-15,1821,Spanish Empire,1821,"September 15, 1821",North America,Modern Era
Croatia,30-05-1990,Wednesday,30,May,Statehood Day,May-30,1990,SFR Yugoslavia,1990,"May 30, 1990",Europe,Modern Era
Cuba,10-10-1868,Saturday,10,Oct,Commencement of the Wars of Independence[46],Oct-10,1868,Spanish Empire,1868,"October 10, 1868",North America,Modern Era
Cyprus,01-04-1955,Friday,1,Apr,National Day,Apr-01,1955,United Kingdom,1955,"April 1, 1955",Asia,Modern Era
Cyprus,01-10-1960,Saturday,1,Oct,Independence Day,Oct-01,1960,United Kingdom,1960,"October 1, 1960",Asia,Modern Era
Czech Republic,28-10-1918,Monday,28,Oct,Independence Day,Oct-28,1918,Austria-Hungary,1918,"October 28, 1918",Europe,Modern Era
Czech Republic,01-01-1993,Friday,1,Jan,Restoration Day,Jan-01,1993,Czechoslovakia,1993,"January 1, 1993",Europe,Modern Era
Djibouti,27-06-1977,Monday,27,Jun,Independence Day,Jun-27,1977,France,1977,"June 27, 1977",Africa,Modern Era
Dominica,03-11-1978,Friday,3,Nov,Independence Day,Nov-03,1978,United Kingdom,1978,"November 3, 1978",North America,Modern Era
Dominican Republic,27-02-1821,Tuesday,27,Feb,"Unspecified (1821, Spain)",Feb-27,1821,Spain,1821,"February 27, 1821",North America,Modern Era
East Timor,20-05-2002,Monday,20,May,"Unspecified (2002, Portugal)",May-20,2002,Portugal,2002,"May 20, 2002",Asia,Modern Era
Ecuador,10-08-1809,Thursday,10,Aug,Independence Day,Aug-10,1809,Spanish Empire,1809,"August 10, 1809",South America,Modern Era
Ecuador,24-05-1822,Friday,24,May,"Unspecified (1822, Spanish Empire)",May-24,1822,Spanish Empire,1822,"May 24, 1822",South America,Modern Era
El Salvador,15-09-1821,Saturday,15,Sep,Independence Day,Sep-15,1821,Spanish Empire,1821,"September 15, 1821",North America,Modern Era
Equatorial Guinea,12-10-1968,Saturday,12,Oct,"Unspecified (1968, Spain)",Oct-12,1968,Spain,1968,"October 12, 1968",Africa,Modern Era
Eritrea,24-05-1991,Friday,24,May,Independence Day,May-24,1991,Ethiopia,1991,"May 24, 1991",Africa,Modern Era
Estonia,24-02-1918,Sunday,24,Feb,Independence Day,Feb-24,1918,Russian Soviet Federative Socialist Republic,1918,"February 24, 1918",Europe,Modern Era
Estonia,20-08-1991,Tuesday,20,Aug,Day of Restoration of Independence[55],Aug-20,1991,Soviet Union[55],1991,"August 20, 1991",Europe,Modern Era
Eswatini,06-09-1968,Friday,6,Sep,Somhlolo Day,Sep-06,1968,United Kingdom,1968,"September 6, 1968",Africa,Modern Era
Fiji,10-10-1970,Saturday,10,Oct,Fiji Day,Oct-10,1970,United Kingdom,1970,"October 10, 1970",Oceania,Modern Era
Finland,06-12-1917,Thursday,6,Dec,Independence Day,Dec-06,1917,Russian Soviet Federative Socialist Republic,1917,"December 6, 1917",Europe,Modern Era
France,14-07-1789,Tuesday,14,Jul,National Day or Bastille Day,Jul-14,1789,None,1789,"July 14, 1789",Europe,Colonial Era
Gabon,17-08-1960,Wednesday,17,Aug,"Unspecified (1960, France)",Aug-17,1960,France,1960,"August 17, 1960",Africa,Modern Era
"Gambia, The",18-02-1965,Thursday,18,Feb,"Unspecified (1965, United Kingdom)",Feb-18,1965,United Kingdom,1965,"February 18, 1965",Africa,Modern Era
Georgia,26-05-1918,Sunday,26,May,Independence Day,May-26,1918,Russian Soviet Federative Socialist Republic,1918,"May 26, 1918",Asia,Modern Era
Georgia,09-04-1991,Tuesday,9,Apr,Day of National Unity,Apr-09,1991,Soviet Union,1991,"April 9, 1991",Asia,Modern Era
Ghana,06-03-1957,Wednesday,6,Mar,Independence Day,Mar-06,1957,United Kingdom,1957,"March 6, 1957",Africa,Modern Era
